ACCOUNT_ID	TRANSACTION_ID	AMOUNT	AMOUNT_NORMALIZED	CURRENCY	TRANSACTION_DATE	CATEGORY_CODE	BOOKING_TEXT	COUNTERPARTY	CITY	COUNTRY	ZIP	GEO_LATITUDE	GEO_LONGITUDE	STREET	TRANSACTION_TYPE
1001	58769957469112	-55.30	-55.30	CHF	15.08.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	58769956960078	-25.30	-25.30	CHF	15.08.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	58588510860130	-31.25	-31.25	CHF	25.07.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	58528214435637	-82.50	-82.50	CHF	18.07.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	58467550759601	-6.40	-6.40	CHF	11.07.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	58467550557480	-3.40	-3.40	CHF	11.07.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	58458398876866	-7.50	-7.50	CHF	10.07.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	58407278868002	-23.60	-23.60	CHF	04.07.2016	cv_doctor		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	58346592788663	-8.80	-8.80	CHF	27.06.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	58346592788503	-16.05	-16.05	CHF	27.06.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	58286366749482	-8.50	-8.50	CHF	20.06.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	57862752301263	-9.00	-9.00	CHF	02.05.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	57793122123015	-14.85	-14.85	CHF	24.04.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	57793040455165	-4.30	-4.30	CHF	24.04.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	57732632531780	-7.70	-7.70	CHF	17.04.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	57732547621154	-2.60	-2.60	CHF	17.04.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	58839934323487	2000.00	2000.00	CHF	23.08.2016	cv_income									PAYMENT
1001	58839602847311	-2.00	-2.00	CHF	23.08.2016	cv_accountfees									BANKBOOKING
1001	57689977413665	-9.55	-9.55	CHF	12.04.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	57681339274270	-19.25	-19.25	CHF	11.04.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	57681339071616	-2.60	-2.60	CHF	11.04.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	57672268620191	-18.20	-18.20	CHF	10.04.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	57672107562310	-3.10	-3.10	CHF	10.04.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	57638116021464	-4.30	-4.30	CHF	06.04.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	57560720740381	-18.05	-18.05	CHF	28.03.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	57396199174228	-5.30	-5.30	CHF	10.03.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	57335718903522	-29.35	-29.35	CHF	03.03.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	57283893070373	-2.60	-2.60	CHF	26.02.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	57248727933210	-2.60	-2.60	CHF	22.02.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	57197495878324	-5.45	-5.45	CHF	16.02.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	57162924313203	-2.10	-2.10	CHF	12.02.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	57127919551503	-18.30	-18.30	CHF	08.02.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
1001	57076534937898	-4.65	-4.65	CHF	02.02.2016	cv_groceries		Migros M Express	Zürich	CH	8048	47.391301	8.487883	Hohlstrasse 600	CARDPAYMENT
